"","countyfp","population","latitude","longitude","geo.display.label","median_house_value","total_units","median_rooms","mean_household_size_owners","mean_household_size_renters","built_2005_or_later","built_2000_to_2004","built_1990s","built_1980s","built_1970s","built_1960s","built_1950s","built_1940s","bedrooms_0","bedrooms_1","bedrooms_2","bedrooms_3","bedrooms_4","owners","renters","median_household_income","mean_household_income","vacant_ratio"
"1","1",1974,37.848292,-122.249525,"Census Tract 4002, Alameda County, California",909600,929,6,2.53,1.81,0,1.2,0,1.3,6.1,6.5,1,10.8,3,16.4,27.4,34.4,17.5,66,34,111667,195229,0.0398277717976319
"2","1",4865,37.840265,-122.254416,"Census Tract 4003, Alameda County, California",748700,2655,4.6,2.45,1.66,0,0,2.3,3.2,5.2,8.3,5.3,7.8,11.5,28.4,29.2,20.4,7.9,45.1,54.9,66094,105877,0.0504708097928437
"3","1",3703,37.848451,-122.25731,"Census Tract 4004, Alameda County, California",773600,1911,5,2.04,2.19,0,0.2,1.3,0,4.9,4.3,8,10.4,5.2,27.7,33.7,21.9,7.3,45,55,87306,106248,0.0355834641548927
"4","1",3517,37.848941,-122.264742,"Census Tract 4005, Alameda County, California",579200,1703,4.5,2.66,1.72,0,0.2,1.1,1.9,3.7,5.8,6,7.5,4.9,30.2,38.1,19.3,5.4,43.6,56.4,62386,74604,0.0416911332941867
"5","1",1571,37.842226,-122.264926,"Census Tract 4006, Alameda County, California",480800,781,4.8,2.58,2.18,0,0,1.2,1.4,1,6.5,19.7,17,3.5,20.4,40.1,30.7,4.6,51,49,55658,73933,0.0832266325224072
"6","1",4206,37.841719,-122.27215,"Census Tract 4007, Alameda County, California",460800,1977,4.3,2.72,2.15,0,0.6,1.8,2.2,3.3,0.8,9.4,9.7,8.2,22.3,43.2,16.7,6.5,32.2,67.8,38646,56705,0.119372787051088
"7","1",3594,37.845393,-122.283126,"Census Tract 4008, Alameda County, California",473500,1738,4.3,2.17,1.93,13.1,4.1,1.6,2.4,7.8,3.7,7.5,13.3,8.9,25,37.5,25,2.1,28.3,71.7,52837,66822,0.147871116225547
"8","1",2302,37.839285,-122.280316,"Census Tract 4009, Alameda County, California",439300,1202,4.4,2.7,1.92,0,2.2,0.6,5.9,0,5.5,9.1,14.7,14.2,20.1,39.4,18.3,5.5,31.7,68.3,59091,59690,0.0665557404326123
"9","1",5678,37.831263,-122.272163,"Census Tract 4010, Alameda County, California",369800,2665,4.6,2.75,2.08,0,2.2,0,0.5,4.3,11.2,11.3,8.5,6.1,29.3,35.4,25.3,3.9,35.1,64.9,40402,50056,0.187617260787992
"10","1",4156,37.829959,-122.263403,"Census Tract 4011, Alameda County, California",467200,2182,3.5,2.3,1.96,0.4,1.1,1.7,0.5,4.1,3.6,13.4,11.8,11,44,24.4,16.1,3.7,16.8,83.2,44140,56674,0.0678276810265811
"11","1",2416,37.830988,-122.258039,"Census Tract 4012, Alameda County, California",591200,1372,4.3,2.02,1.61,0,2.2,0.6,3.1,1.4,3.5,8.2,13.9,6.2,29.2,40.8,20.4,2.9,41.7,58.3,59554,81476,0.0240524781341108
"12","1",3528,37.8165,-122.26787,"Census Tract 4013, Alameda County, California",352400,1908,3,1.45,1.97,5.9,8.4,3.2,7.3,8,16.3,7.1,6.6,22.5,47,17.5,11.1,0.4,12.5,87.5,31080,45789,0.118972746331237
"13","1",4314,37.819904,-122.273309,"Census Tract 4014, Alameda County, California",322700,1870,3.9,2.15,2.6,0,1.8,2.5,3.3,7.2,2.4,8.4,9.4,12.4,26.5,31.9,20.2,7.6,18.1,81.9,30777,38234,0.231016042780749
"14","1",2630,37.823505,-122.28048,"Census Tract 4015, Alameda County, California",353700,1254,3.9,2.09,1.86,3.9,2.6,4.9,2.6,0,3.5,6,6.5,15.2,28.1,32.5,21.2,1.4,40.4,59.6,27183,47209,0.304625199362041
"15","1",2163,37.81667,-122.279621,"Census Tract 4016, Alameda County, California",321600,947,4.1,3.47,2.17,0,27.6,4.4,7,4.2,3,12.6,1.4,1.9,22.4,42.9,24.9,5.7,18,82,37679,47593,0.182682154171067
"16","1",2667,37.817286,-122.293793,"Census Tract 4017, Alameda County, California",377800,1025,4.1,2.51,3.1,36.3,5.2,8,2.7,4.8,1.1,5.2,4.4,6.4,20.8,42.8,24.7,2,44.4,55.6,62895,79060,0.162926829268293
"17","1",1703,37.809593,-122.298293,"Census Tract 4018, Alameda County, California",334100,854,4.6,3.28,2.53,1.1,5.4,9.6,2.1,1.1,9.4,7.6,11,7.5,16.6,31.6,30.7,5,15.1,84.9,30370,38382,0.324355971896956
"18","1",2385,37.807292,-122.295186,"Census Tract 4022, Alameda County, California",374200,1020,4.5,2.92,2.31,0.9,9.2,1.6,0.9,6.9,2.3,4.9,12.4,9.3,19.8,28.7,31.6,4.8,32,68,39286,52775,0.154901960784314
"19","1",2351,37.811419,-122.28219,"Census Tract 4024, Alameda County, California",330900,1210,4.1,3.45,2.01,0,2.6,2.4,7,10.6,12.1,9.4,8.4,10.4,21.7,33.8,17.5,8,14.9,85.1,20874,29672,0.104132231404959
"20","1",1784,37.804984,-122.285183,"Census Tract 4025, Alameda County, California",285500,846,4.3,2.21,2.72,0,5,11.9,7.3,23.6,15.1,10,4.7,4.5,22.6,35.9,26.8,10.2,23.5,76.5,21571,36145,0.0933806146572104
"21","1",1151,37.804782,-122.279657,"Census Tract 4026, Alameda County, California",356000,628,3,2.2,1.44,3.7,15.9,10,7,26.9,4,8.4,0,14.2,48.7,18.5,9.6,6.4,23.2,76.8,22531,45619,0.113057324840764
"22","1",1569,37.810251,-122.277443,"Census Tract 4027, Alameda County, California",347600,796,4,2.25,2.24,0,4.3,4.9,0.8,14.1,1.9,3.4,8.7,8.8,26,29,24.1,2.8,37.3,62.7,35080,48131,0.164572864321608
"23","1",3345,37.808665,-122.272709,"Census Tract 4028, Alameda County, California",324100,1716,2.5,1.71,1.35,20,3.8,1.8,10.8,8.3,5.1,8.1,5.5,37.8,39.3,14,3.9,1.6,9.6,90.4,21993,41640,0.122960372960373
"24","1",2788,37.800788,-122.270661,"Census Tract 4030, Alameda County, California",369900,1597,3,1.54,1.91,2.4,3.2,19.2,8.1,18.8,3.3,4.6,6.8,14.8,46.2,29.4,4.9,3.3,21.6,78.4,17569,33976,0.234815278647464
"25","1",2238,37.801099,-122.276502,"Census Tract 4031, Alameda County, California",407100,655,3,1.71,1.75,32.1,3.2,23.8,1.5,2.1,4.3,5.8,3.8,30.2,22,36.8,6.1,0,41.5,58.5,42625,56426,0.125190839694656
"26","1",4054,37.7956,-122.267839,"Census Tract 4033, Alameda County, California",404000,2372,3.2,1.84,2.05,8.2,38.8,5.9,0.4,9.6,1.6,6.2,3.1,9.6,46.1,36.6,5.1,2.2,28.6,71.4,69605,74171,0.140809443507589
"27","1",4146,37.803458,-122.263683,"Census Tract 4034, Alameda County, California",452300,3086,3,1.26,1.49,2.4,5.6,1.8,10.7,11.7,18.2,11.1,8.5,18.8,60.9,17.8,2.5,0,12.7,87.3,42358,61668,0.0382372002592353
"28","1",4374,37.817316,-122.259876,"Census Tract 4035.01, Alameda County, California",351700,2513,3.1,1.96,2.1,2.7,1.6,2.3,6.9,16.3,12,12.5,9,10.1,60.5,20.4,6.2,0.6,12.2,87.8,33635,51389,0.0676482292081178
"29","1",1991,37.816035,-122.256743,"Census Tract 4035.02, Alameda County, California",272600,1359,3.4,1.66,1.59,0,0,1,3,23.2,25.9,11.6,2.5,7.8,57.7,28.6,5.9,0,29.2,70.8,63199,71320,0.0978660779985283
"30","1",4482,37.813421,-122.254114,"Census Tract 4036, Alameda County, California",364200,2932,3.3,2.11,1.77,0,0.4,0.4,3.6,13.8,36.5,17.1,11.6,5.4,55,29.3,5.1,2.5,22.1,77.9,56303,73091,0.125852660300136
"31","1",2587,37.811375,-122.258315,"Census Tract 4037.01, Alameda County, California",343600,2030,2.8,1.44,1.44,0,0,0.7,2.7,15.8,31.4,12.4,5.1,22.3,50.8,24.2,1.5,0.5,10.9,89.1,60278,68211,0.156650246305419
